date,sector,open,high,low,close
2020-05-31,Nifty Media,1133.85,1197.05,1053.25,1177.85
2020-06-15,Nifty Media,1194.5,1434.05,1192.6,1298.8
2020-06-30,Nifty Media,1341.4,1485.3,1292.65,1343.35
2020-07-15,Nifty Media,1335.5,1399.15,1328.55,1343.45
2020-07-31,Nifty Media,1347.2,1404.8,1279.4,1285.1
2020-08-15,Nifty Media,1280.65,1437.9,1270.2,1399.85
2020-08-31,Nifty Media,1418.65,1678.55,1414.3,1572.5
2020-09-15,Nifty Media,1574.05,1679.25,1552.8,1651.8
2020-09-30,Nifty Media,1661.45,1664.85,1420.55,1547.8
2020-10-15,Nifty Media,1604.3,1627.1,1449.65,1454.45
2020-10-31,Nifty Media,1461.5,1476.65,1387.3,1419.05
2020-11-15,Nifty Media,1422.1,1511.65,1400.4,1486.95
2020-11-30,Nifty Media,1498.6,1529.65,1455.6,1503.15
2020-12-15,Nifty Media,1514.1,1729.2,1498.25,1722.15
2020-12-31,Nifty Media,1728.85,1752.4,1517.5,1648.95
2021-01-15,Nifty Media,1652.6,1789.95,1640.2,1732.6
2021-01-31,Nifty Media,1733.8,1772.6,1645.15,1650.1
2021-02-15,Nifty Media,1676.0,1830.95,1647.9,1681.85
2021-02-28,Nifty Media,1690.1,1722.05,1608.6,1625.15
2021-03-15,Nifty Media,1643.4,1775.25,1642.5,1690.55
2021-03-31,Nifty Media,1684.95,1699.85,1527.65,1545.35
2021-04-15,Nifty Media,1553.95,1586.5,1411.05,1447.4
2021-04-30,Nifty Media,1446.7,1572.85,1409.05,1547.95
2021-05-15,Nifty Media,1538.8,1662.35,1511.3,1604.35
2021-05-31,Nifty Media,1615.4,1825.05,1584.1,1761.45
2021-06-15,Nifty Media,1771.9,1927.25,1741.85,1907.3
2021-06-30,Nifty Media,1911.1,1921.05,1772.55,1797.5
2021-07-15,Nifty Media,1799.5,1861.7,1791.65,1807.85
2021-07-31,Nifty Media,1815.65,1818.6,1724.65,1796.0
2021-08-15,Nifty Media,1808.25,1812.9,1642.95,1705.85
2021-08-31,Nifty Media,1706.5,1706.7,1569.35,1601.65
2021-09-15,Nifty Media,1610.45,2100.45,1599.65,1942.0
2021-09-30,Nifty Media,1952.25,2282.05,1885.4,2138.3
2021-10-15,Nifty Media,2124.6,2357.85,2117.6,2350.85
2021-10-31,Nifty Media,2368.45,2378.8,2198.85,2246.0
2021-11-15,Nifty Media,2263.4,2380.55,2243.7,2317.3
2021-11-30,Nifty Media,2320.4,2351.2,2145.3,2171.1
2021-12-15,Nifty Media,2186.75,2494.55,2149.6,2432.95
2021-12-31,Nifty Media,2460.85,2466.25,2151.05,2218.8
2022-01-15,Nifty Media,2212.9,2335.5,2207.3,2316.75
2022-01-31,Nifty Media,2325.55,2339.55,2076.05,2235.35
2022-02-15,Nifty Media,2257.25,2305.2,2106.75,2208.0
2022-02-28,Nifty Media,2225.6,2241.3,1903.3,2010.65
2022-03-15,Nifty Media,2001.25,2205.6,1928.75,2133.45
2022-03-31,Nifty Media,2171.55,2409.15,2133.9,2379.6
2022-04-15,Nifty Media,2392.1,2484.7,2376.0,2389.7
2022-04-30,Nifty Media,2368.05,2390.15,2143.7,2149.7
2022-05-15,Nifty Media,2126.5,2180.0,1889.3,1945.35
2022-05-31,Nifty Media,1963.7,2073.9,1841.75,2052.65
2022-06-15,Nifty Media,2052.55,2083.25,1881.35,1892.85
2022-06-30,Nifty Media,1913.05,1926.2,1752.2,1897.55
2022-07-15,Nifty Media,1893.85,1982.95,1874.1,1938.15
2022-07-31,Nifty Media,1947.9,2090.7,1943.2,2079.05
2022-08-15,Nifty Media,2098.2,2139.1,2039.9,2043.25
2022-08-31,Nifty Media,2034.3,2121.65,2017.7,2069.2
2022-09-15,Nifty Media,2034.55,2236.1,2031.65,2169.55
2022-09-30,Nifty Media,2164.25,2179.1,1988.25,2062.9
2022-10-15,Nifty Media,2074.65,2172.9,2032.0,2082.1
2022-10-31,Nifty Media,2085.15,2115.05,2047.35,2062.35
2022-11-15,Nifty Media,2075.5,2119.45,2045.6,2049.7
2022-11-30,Nifty Media,2050.55,2121.95,1974.25,2116.55
2022-12-15,Nifty Media,2127.05,2201.2,2113.6,2119.9
2022-12-31,Nifty Media,2116.35,2129.5,1887.65,1992.05
2023-01-15,Nifty Media,1995.6,2045.75,1928.65,1972.35
2023-01-31,Nifty Media,1975.8,1979.05,1832.75,1898.6
2023-02-15,Nifty Media,1907.0,1917.4,1799.8,1840.9
2023-02-28,Nifty Media,1849.7,1860.05,1654.4,1704.8
2023-03-15,Nifty Media,1701.3,1774.8,1662.05,1666.45
2023-03-31,Nifty Media,1668.0,1759.6,1636.65,1700.1
2023-04-15,Nifty Media,1713.75,1751.85,1700.8,1722.5
2023-04-30,Nifty Media,1718.7,1743.65,1658.3,1714.85
2023-05-15,Nifty Media,1721.05,1743.2,1686.05,1736.55
2023-05-31,Nifty Media,1736.5,1762.65,1655.15,1755.85
2023-06-15,Nifty Media,1761.95,1836.45,1758.4,1786.9
2023-06-30,Nifty Media,1797.5,1820.15,1727.7,1743.8
2023-07-15,Nifty Media,1751.2,1932.55,1742.15,1927.4
2023-07-31,Nifty Media,1928.35,2072.15,1926.35,2061.5
2023-08-15,Nifty Media,2068.3,2269.4,2007.95,2219.15
2023-08-31,Nifty Media,2233.8,2336.1,2223.55,2293.1
2023-09-15,Nifty Media,2311.15,2465.95,2289.1,2326.85
2023-09-30,Nifty Media,2330.1,2330.95,2219.6,2268.2
2023-10-15,Nifty Media,2269.75,2359.55,2225.3,2319.85
2023-10-31,Nifty Media,2326.8,2343.2,2092.25,2199.05
2023-11-15,Nifty Media,2203.35,2298.4,2182.9,2254.8
2023-11-30,Nifty Media,2260.8,2310.1,2250.65,2296.55
2023-12-15,Nifty Media,2310.6,2484.5,2286.9,2437.05
2023-12-31,Nifty Media,2425.95,2493.4,2306.2,2388.15
2024-01-15,Nifty Media,2400.25,2508.6,2361.45,2399.55
2024-01-31,Nifty Media,2410.0,2459.65,2057.55,2151.0
2024-02-15,Nifty Media,2174.6,2217.45,2035.45,2143.65
2024-02-29,Nifty Media,2150.5,2264.85,2011.65,2049.95
2024-03-15,Nifty Media,2042.35,2067.8,1767.3,1822.5
2024-03-31,Nifty Media,1827.25,1860.6,1768.7,1795.85
2024-04-15,Nifty Media,1816.6,1947.75,1812.85,1846.1
2024-04-30,Nifty Media,1827.4,1937.95,1826.85,1892.8
2024-05-15,Nifty Media,1896.05,1900.65,1742.95,1772.45
2024-05-31,Nifty Media,1781.05,1918.5,1778.15,1870.4
2024-06-15,Nifty Media,1948.85,2093.3,1717.4,2057.85
2024-06-30,Nifty Media,2067.8,2071.1,1986.25,1992.35
2024-07-15,Nifty Media,1999.05,2118.05,1983.3,2105.8
2024-07-31,Nifty Media,2114.9,2169.25,1887.45,2149.7
2024-08-15,Nifty Media,2162.25,2167.35,1993.7,2017.4
2024-08-31,Nifty Media,2036.25,2174.55,2035.7,2104.5
2024-09-15,Nifty Media,2112.55,2131.15,2021.9,2118.45
2024-09-30,Nifty Media,2134.75,2158.1,2045.55,2138.5
2024-10-15,Nifty Media,2138.7,2182.35,1988.7,2069.3
2024-10-31,Nifty Media,2064.4,2071.95,1877.0,2019.0
2024-11-15,Nifty Media,2029.7,2038.25,1873.95,1924.4
2024-11-30,Nifty Media,1919.45,2012.3,1880.05,1996.8
2024-12-15,Nifty Media,2010.25,2095.65,1927.95,1953.25
2024-12-31,Nifty Media,1956.35,2019.55,1801.3,1817.85
2025-01-15,Nifty Media,1816.1,1878.15,1653.5,1690.65
2025-01-31,Nifty Media,1705.85,1735.65,1523.3,1580.25
2025-02-15,Nifty Media,1584.25,1662.85,1482.4,1492.15
2025-02-28,Nifty Media,1486.25,1525.95,1373.55,1386.85
2020-01-15,Oil And Gas,14764.6,14935.93,14305.73,14776.05
2020-01-31,Oil And Gas,14843.72,14845.47,13872.34,13923.67
2020-02-15,Oil And Gas,13968.63,14424.41,13495.79,14083.38
2020-02-29,Oil And Gas,14081.05,14081.05,12507.81,12620.01
2020-03-15,Oil And Gas,12842.54,12976.29,9002.59,10838.75
2020-03-31,Oil And Gas,10568.07,10787.48,8723.9,10020.85
2020-04-15,Oil And Gas,10107.45,11266.03,9622.64,10865.6
2020-04-30,Oil And Gas,10890.98,12126.66,10736.58,12066.36
2020-05-15,Oil And Gas,11873.93,11928.27,11122.54,11199.75
2020-05-31,Oil And Gas,11293.06,11893.63,10688.54,11835.97
2020-06-15,Oil And Gas,11982.59,13025.64,11922.38,12469.67
2020-06-30,Oil And Gas,12658.43,13152.57,12269.71,12668.18
2020-07-15,Oil And Gas,12691.71,13241.03,12426.01,12528.49
2020-07-31,Oil And Gas,12567.95,13891.92,12322.15,13174.29
2020-08-15,Oil And Gas,13177.45,13460.36,12943.11,13189.07
2020-08-31,Oil And Gas,13228.99,13684.58,13021.55,13083.32
2020-09-15,Oil And Gas,13107.37,13416.08,12604.58,13305.73
2020-09-30,Oil And Gas,13333.63,13337.89,12030.97,12242.39
